,Horiz,Vert
0,0.0,8.0
1,0.022035921412512007,7.8568118088030605
2,0.044071842825024014,7.70954198495306
3,0.06610776423753602,7.558190528449997
4,0.08814368565004803,7.402757439293874
5,0.11017960706256003,7.243242717484691
6,0.13221552847507204,7.079646363022445
7,0.15425144988758405,6.911968375907138
8,0.17628737130009606,6.74020875613877
9,0.19832329271260804,6.564367503717341
10,0.22035921412512005,6.384444618642851
11,0.24239513553763206,6.2004401009153
12,0.26443105695014407,6.012353950534686
13,0.28646697836265606,5.820186167501013
14,0.3085028997751681,5.623936751814276
15,0.3305388211876801,5.423605703474481
16,0.3525747426001921,5.219193022481622
17,0.37461066401270415,5.010698708835703
18,0.3966465854252161,4.798122762536723
19,0.4186825068377281,4.581465183584681
20,0.4407184282502401,4.360725971979579
21,0.46275434966275214,4.135905127721414
22,0.4847902710752641,3.9070026508101896
23,0.5068261924877762,3.6740185412459034
24,0.5288621139002881,3.436952799028555
25,0.5508980353128002,3.195805424158146
26,0.5729339567253121,2.9505764166346777
27,0.5949698781378242,2.701265776458146
28,0.6170057995503362,2.447873503628553
29,0.6390417209628482,2.1903995981458984
30,0.6610776423753602,1.9288440600101853
31,0.6831135637878721,1.6632068892214082
32,0.7051494852003842,1.393488085779571
33,0.7271854066128962,1.1196876496846713
34,0.7492213280254083,0.8418055809367115
35,0.7712572494379202,0.5598418795356923
36,0.7932931708504322,0.27379654548160914
37,0.8153290922629443,-0.01633042122553441
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,1.0,1.0
54,1.0,1.0
55,1.0,1.0
56,1.0,1.0
57,1.0,1.0
58,1.0,1.0
59,1.0,1.0
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,1.0
66,1.0,1.0
67,1.0,1.0
68,1.0,1.0
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
77,1.0,1.0
78,1.0,1.0
79,1.0,1.0
80,1.0,1.0
81,1.0,1.0
82,1.0,1.0
83,1.0,1.0
84,1.0,1.0
85,1.0,1.0
86,1.0,1.0
87,1.0,1.0
88,1.0,1.0
89,1.0,1.0
90,1.0,1.0
91,1.0,1.0
92,1.0,1.0
93,1.0,1.0
94,1.0,1.0
95,1.0,1.0
96,1.0,1.0
97,1.0,1.0
98,1.0,1.0
99,1.0,1.0
